ISO_NE / 0.001 LR,,,,,,,,,
,Value,MSE (Scaled),MSE (Unscaled),MAE (Scaled),MAE (Unscaled),R2,Total Time,Time to best,Best Epoch
GCN Depth,1,0.1719,1432571.165,0.2999,865.6554,0.8122,25m 32s,19m 34s,35
,2,0.1691,1409069.254,0.2888,833.7259,0.8153,22m 29s,17m 35s,36
,3,0.1690,1408410.135,0.2899,836.7522,0.8154, 28m 52s,23m 49s,47
,5,0.1703,1418659.385,0.2898,836.5526,0.8140,22m 55s,17m 20s,31
,7,0.1693,1410285.508,0.2897,836.1234,0.8151,25m 23s,19m 37s,34
Hidden Dimension,32,0.1689,1407252.071,0.2877,830.4436,0.8155,21m 22s,16m 2s,30
,64,0.1703,1418659.385,0.2898,836.5526,0.8140,22m 55s,17m 20s,31
,128,0.1712,1426259.802,0.2964,855.4916,0.8130,24m 58s,19m 24s,35
,256,0.1703,1419186.089,0.2922,843.5485,0.8139,26m 20s,20m 21s,34
Kernel Size,3,0.1720,1432899.811,0.2907,839.1649,0.8121,24m 59s,19m 19s,34
,5,0.1716,1429711.879,0.2933,846.5742,0.8126,22m 35s,16m 56s,30
,7,0.1703,1418659.385,0.2898,836.5526,0.8140,22m 55s,17m 20s,31
,11,0.1699,1415851.976,0.2949,851.1897,0.8144,23m 9s,17m 31s,31
Dilation,1,0.1710,1424864.513,0.2920,842.8447,0.8132,26m 2s,20m 22s,36
,2,0.1684,1403560.505,0.2883,832.1192,0.8160,29m 49s,24m 26s,44
,3,0.1703,1418659.385,0.2898,836.5526,0.8140,22m 55s,17m 20s,31
,5,0.1706,1421280.62,0.2890,834.3182,0.8137,24m 17s,18m 53s,35